_id,name,description,createdAt,updatedAt,code
5fcb2af7bd66d830e82d61ef,Soufriere,District on the South West South side of the island.,2020-12-05T06:38:47.752Z,2021-02-14T03:11:28.305Z,H
5fe784ea81e77b3b405c5faa,Choiseul,Borders Soufriere to the west and Laborie to the east,2020-12-26T18:46:02.230Z,2021-02-14T03:10:51.528Z,I
60171762d7a5c51dc8e3eefe,Gros-Islet,,2021-01-31T20:47:30.446Z,2021-01-31T20:47:30.446Z,A
601717a2d7a5c51dc8e3eeff,Babonneau,,2021-01-31T20:48:34.967Z,2021-01-31T20:48:34.967Z,B
601717b3d7a5c51dc8e3ef00,Castries North,,2021-01-31T20:48:51.419Z,2021-01-31T20:48:51.419Z,C
601717cfd7a5c51dc8e3ef01,Castries Central,,2021-01-31T20:49:19.289Z,2021-01-31T20:50:02.344Z,E
60171a2dd7a5c51dc8e3ef03,Castries South,,2021-01-31T20:59:25.875Z,2021-01-31T20:59:25.875Z,F
60171a47d7a5c51dc8e3ef04,Anse La Raye / Canaries,,2021-01-31T20:59:51.415Z,2021-01-31T20:59:51.415Z,G
60171a8cd7a5c51dc8e3ef05,Laborie,,2021-01-31T21:01:00.824Z,2021-01-31T21:01:00.824Z,J
60171a9cd7a5c51dc8e3ef06,Vieux-Fort South,,2021-01-31T21:01:16.134Z,2021-01-31T21:01:16.134Z,K
60171aa8d7a5c51dc8e3ef07,Vieux-Fort North,,2021-01-31T21:01:28.365Z,2021-01-31T21:01:28.365Z,L
60171ab6d7a5c51dc8e3ef08,Micoud South,,2021-01-31T21:01:42.145Z,2021-01-31T21:01:42.145Z,M
60171acdd7a5c51dc8e3ef09,Micoud North,,2021-01-31T21:02:05.835Z,2021-01-31T21:02:05.835Z,N
60171ad9d7a5c51dc8e3ef0a,Dennery South,,2021-01-31T21:02:17.864Z,2021-01-31T21:02:17.864Z,O
60171ae5d7a5c51dc8e3ef0b,Dennery North,,2021-01-31T21:02:29.435Z,2021-01-31T21:02:29.435Z,P
60171af7d7a5c51dc8e3ef0c,Castries South East,,2021-01-31T21:02:47.591Z,2021-01-31T21:02:47.591Z,Q
60172324d7a5c51dc8e3ef19,Castries East,,2021-01-31T21:37:40.216Z,2021-01-31T21:37:40.216Z,D